,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17,ID18
PD28690bx_2_d5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD28690cb_2_g1,0.14365,0.14623,0.12014,0.01001,0.21682,0.00000,0.00000,0.00000,0.08732,0.04770,0.00000,0.00000,0.02126,0.00000,0.00000,0.00000,0.00000,0.20687
PD28690cb_2_g3,0.21592,0.20546,0.06361,0.06368,0.25721,0.00832,0.03787,0.02024,0.00000,0.02502,0.00422,0.00000,0.00000,0.00101,0.08240,0.00000,0.01503,0.00000
PD28690cb_2_h3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD34200a_c19,0.23148,0.15844,0.00798,0.12539,0.13838,0.00000,0.01315,0.10984,0.07077,0.10573,0.00000,0.00378,0.00000,0.00511,0.00000,0.02995,0.00000,0.00000
PD36719a_lo008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
PD36719a_lo018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD36719a_lo022,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
PD36719a_lo034,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
PD36719a_lo048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD36813ac15,0.18557,0.08996,0.00000,0.11794,0.24034,0.00000,0.00000,0.09293,0.09568,0.04631,0.09079,0.00000,0.00000,0.04047,0.00000,0.00000,0.00000,0.00000
PD36813ac2,0.29156,0.15707,0.06457,0.00000,0.32215,0.00000,0.00000,0.02634,0.10783,0.00000,0.03031,0.00000,0.00000,0.00016,0.00000,0.00000,0.00000,0.00000
PD36813ac4,0.27872,0.13421,0.02207,0.03483,0.24060,0.00638,0.00629,0.02011,0.03769,0.12221,0.01897,0.00000,0.03062,0.00000,0.04729,0.00000,0.00000,0.00000
PD36813ac7,0.26600,0.11836,0.01180,0.04223,0.22832,0.00101,0.00000,0.00732,0.21394,0.05420,0.00493,0.00000,0.00018,0.00000,0.00000,0.00000,0.00000,0.05172
PD36813ad17,0.33761,0.14261,0.00000,0.08313,0.09402,0.01124,0.00000,0.00906,0.17653,0.05952,0.00000,0.00000,0.06512,0.00000,0.00367,0.00224,0.00000,0.01525
PD36813ad2,0.23303,0.05464,0.03821,0.01522,0.02121,0.00000,0.00000,0.00000,0.06035,0.05274,0.00751,0.01638,0.00000,0.00575,0.00000,0.00000,0.00000,0.49497
PD36813ad8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD36813ad9,0.37954,0.15835,0.01803,0.10843,0.15168,0.00000,0.05569,0.00000,0.09928,0.00000,0.00365,0.00000,0.00993,0.00531,0.01012,0.00000,0.00000,0.00000
PD36813ae7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD36813c2,0.19635,0.13212,0.06966,0.06957,0.25691,0.00000,0.00000,0.08352,0.11167,0.03745,0.03078,0.00000,0.01198,0.00000,0.00000,0.00000,0.00000,0.00000
PD36813d3,0.28298,0.21835,0.04402,0.08759,0.00000,0.00000,0.03259,0.03675,0.06016,0.05742,0.11374,0.00000,0.02644,0.00012,0.00000,0.00000,0.00000,0.03985
PD36813g4,0.61384,0.01056,0.15040,0.00000,0.00000,0.00000,0.00000,0.00000,0.02040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20480
PD36813k3,0.33877,0.33267,0.00000,0.00000,0.09790,0.00000,0.00000,0.04585,0.18211,0.00000,0.00269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
PD36813n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD36813p,0.20204,0.05358,0.01476,0.00000,0.00000,0.00000,0.00000,0.00000,0.06310,0.00086,0.02394,0.00000,0.00000,0.02434,0.00000,0.00000,0.00000,0.61736
PD36813r14,0.01103,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98897
PD36813u2,0.34961,0.26913,0.00000,0.13519,0.00000,0.00673,0.00000,0.01702,0.09605,0.00992,0.01065,0.00000,0.02353,0.01633,0.03951,0.00000,0.00000,0.02635
PD36813x15,0.28044,0.15869,0.09718,0.11211,0.00000,0.01264,0.00000,0.03888,0.08869,0.02988,0.05078,0.00000,0.00000,0.02552,0.00000,0.00000,0.00000,0.10519
PD36813x16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD36813y13,0.27649,0.23705,0.08677,0.09600,0.12216,0.00000,0.00000,0.02980,0.11832,0.02116,0.00048,0.00000,0.00000,0.01178,0.00000,0.00000,0.00000,0.00000
PD36813y15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD36814b7,0.23716,0.11465,0.00445,0.02296,0.24919,0.00168,0.00000,0.01846,0.07389,0.00000,0.03563,0.00000,0.00000,0.03404,0.10524,0.00000,0.00696,0.09571
PD37226c6,0.05851,0.00000,0.08805,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00009,0.03285,0.01891,0.00000,0.00428,0.01453,0.00000,0.02225,0.75858
PD37226c7,0.00826,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99174
PD37226c8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
PD37226o5,0.09980,0.35216,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17306,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37497
PD37265b,0.00000,0.00000,0.00000,0.00000,0.74343,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25657
PD37265e5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD37266b_lo0005,0.27598,0.15418,0.11110,0.06846,0.22099,0.01084,0.00000,0.00000,0.04617,0.10048,0.00000,0.00000,0.00964,0.00216,0.00000,0.00000,0.00000,0.00000
PD37266b_lo0017,0.26020,0.12729,0.13478,0.14325,0.00000,0.00000,0.00000,0.01237,0.01012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31199
PD37266c_lo0016,0.16298,0.11205,0.00000,0.00000,0.53567,0.00000,0.00000,0.00000,0.04564,0.00000,0.00000,0.00000,0.00916,0.00000,0.00000,0.00000,0.00000,0.13450
PD37266e_lo0008,0.26849,0.20025,0.06139,0.10701,0.00000,0.00131,0.00000,0.00715,0.24304,0.00965,0.00000,0.00388,0.02562,0.01823,0.00000,0.00778,0.04620,0.00000
PD37449c_lo0001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
PD37449c_lo0009,0.00352,0.00816,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.98832
PD37449c_lo0014,0.08079,0.08903,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.83019
PD37449c_lo0017,0.04849,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95151
PD37449d_lo0001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
PD37449d_lo0002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
PD37449d_lo0003,0.01557,0.00000,0.00000,0.00000,0.17270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.81173
PD37449d_lo0006,0.06261,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.92676
PD37449d_lo0017,0.05432,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94568
PD37449e_lo0008,0.00033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99967
PD37449e_lo0010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
PD37457e6,0.30246,0.08343,0.03834,0.09033,0.20851,0.05720,0.00000,0.00000,0.01931,0.15467,0.02564,0.00000,0.00000,0.02009,0.00000,0.00000,0.00000,0.00000
PD37512a11,0.03833,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96167
PD37512a4,0.13515,0.12517,0.00000,0.00000,0.56693,0.00985,0.00588,0.00000,0.00392,0.00000,0.00000,0.00000,0.00000,0.05275,0.00000,0.00000,0.00000,0.10035
PD37512a5,0.03745,0.01479,0.00000,0.00000,0.88136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06639
PD37513a2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
PD37513a3,0.09438,0.03917,0.00000,0.06900,0.20901,0.00000,0.00000,0.00000,0.05181,0.00000,0.04210,0.00000,0.00125,0.01210,0.07944,0.00000,0.00000,0.40175
PD37590b_lo0018,0.29144,0.14353,0.01189,0.03244,0.27279,0.00000,0.00000,0.05175,0.09103,0.05760,0.00951,0.00000,0.00601,0.00113,0.00000,0.00000,0.03088,0.00000
PD37590b_lo0030,0.35065,0.19376,0.05283,0.06842,0.01757,0.00014,0.00000,0.01748,0.11595,0.04117,0.04747,0.00000,0.00000,0.00193,0.00923,0.00000,0.03767,0.04573
PD37590b_lo0033,0.26598,0.13932,0.13633,0.06943,0.04951,0.01973,0.00000,0.06473,0.13579,0.02939,0.06049,0.00000,0.00000,0.02931,0.00000,0.00000,0.00000,0.00000
PD37590b_lo0041,0.27856,0.20216,0.04725,0.08939,0.00000,0.00381,0.03535,0.05829,0.13485,0.06410,0.01929,0.00000,0.05928,0.00766,0.00000,0.00000,0.00000,0.00000
PD37590b_lo0051,0.33638,0.10523,0.15852,0.07720,0.08903,0.01129,0.00000,0.03955,0.06574,0.00478,0.00000,0.00000,0.00000,0.02600,0.00000,0.00000,0.02962,0.05666
PD37590b_lo0052,0.27537,0.19527,0.04244,0.00922,0.13692,0.03765,0.00000,0.04003,0.11579,0.00000,0.02632,0.00000,0.00000,0.02931,0.00000,0.00739,0.04290,0.04139
PD37590b_lo0053,0.27854,0.20871,0.00000,0.12891,0.03958,0.00000,0.03211,0.08874,0.09267,0.04823,0.00000,0.00000,0.02761,0.00856,0.01326,0.02713,0.00595,0.00000
PD37590b_lo0058,0.32107,0.09523,0.11865,0.07483,0.00000,0.02288,0.00000,0.06721,0.17939,0.01130,0.02086,0.00000,0.02949,0.05909,0.00000,0.00000,0.00000,0.00000
PD37590b_lo0074,0.27991,0.18746,0.07819,0.07240,0.11373,0.04340,0.03454,0.00000,0.08559,0.03625,0.00536,0.00000,0.00349,0.02834,0.00000,0.00000,0.03134,0.00000
PD37590b_lo0075,0.33558,0.26722,0.03989,0.07964,0.10706,0.00000,0.00000,0.00000,0.03507,0.00000,0.03226,0.00000,0.06317,0.04011,0.00000,0.00000,0.00000,0.00000
PD37590b_lo0090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD37590b_lo0092,0.25137,0.10050,0.00000,0.10423,0.05720,0.00000,0.00000,0.11862,0.09479,0.06637,0.02465,0.00000,0.01933,0.04459,0.08417,0.00000,0.03419,0.00000
PD37590b_lo0107,0.28011,0.10235,0.09547,0.04706,0.22452,0.02045,0.00000,0.00758,0.12082,0.02156,0.02624,0.00003,0.00000,0.05380,0.00000,0.00000,0.00000,0.00000
PD37590b_lo0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD37590b_lo0117,0.28556,0.22146,0.03886,0.08356,0.18351,0.00000,0.00000,0.04928,0.10273,0.00843,0.00000,0.00000,0.00000,0.02661,0.00000,0.00000,0.00000,0.00000
PD37590c_lo0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD37590c_lo0005,0.24736,0.23773,0.00003,0.08592,0.13459,0.00000,0.00000,0.02982,0.14557,0.00000,0.02605,0.00000,0.04617,0.02836,0.00000,0.01586,0.00254,0.00000
PD37590c_lo0009,0.25021,0.19311,0.04780,0.05577,0.17061,0.00000,0.00716,0.04171,0.08633,0.01187,0.08524,0.00000,0.01229,0.03792,0.00000,0.00000,0.00000,0.00000
PD37590c_lo0019,0.33938,0.14997,0.09940,0.09967,0.00000,0.02901,0.00000,0.03981,0.14476,0.00660,0.02984,0.00000,0.02597,0.03559,0.00000,0.00000,0.00000,0.00000
PD37590c_lo0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD37590c_lo0034,0.31859,0.07954,0.07649,0.01337,0.21007,0.00000,0.00000,0.04773,0.06627,0.05788,0.01555,0.00000,0.08004,0.03446,0.00000,0.00000,0.00000,0.00000
PD37590c_lo0048,0.30997,0.18244,0.05518,0.06396,0.00000,0.05945,0.00000,0.03775,0.15627,0.05190,0.00000,0.00000,0.02442,0.00084,0.05782,0.00000,0.00000,0.00000
PD37590d_lo0012,0.29936,0.08630,0.00000,0.01373,0.24982,0.05705,0.00000,0.01044,0.10661,0.04230,0.03124,0.00000,0.00000,0.01511,0.00000,0.00000,0.00000,0.08804