,"SPS1 (SBS1 - 0,94)","SPS2 (SBS2+13 - 0,93)","SPS3 (SBS5 - 0,98)","SPS4 (SBS17a+b - 0,88)","SPS5 (SBS22 - 0,87)","SPS6 (SBS44 - 0,90)","SPS7 (SBS88 - 0,97)"
C516_clonal,43825.98406,0.00000,6263.95588,532.92336,1344.34446,70509.19652,2131.15446
C516_subclonal,9746.23576,0.00000,4276.90232,237.25748,561.99094,22444.40690,956.98531
C518_clonal,18547.09549,0.00000,2872.88770,0.00000,452.18839,26209.70701,1312.72981
C518_subclonal,0.00000,0.00000,17083.40029,5146.16382,972.56243,52747.38842,1210.21992
C519_clonal,2134.14783,0.00000,0.00000,0.00000,0.00000,431.42830,0.00000
C519_subclonal,1021.07743,57.07843,0.00000,0.00000,0.00000,226.59607,8.18308
C524_clonal,4912.81341,158.05960,0.00000,64.59691,0.00000,415.09163,303.89325
C524_subclonal,3296.66300,667.04219,327.68461,3546.18291,67.77919,1263.02194,841.75986
C525_clonal,3598.55480,443.88690,0.00000,52.38864,0.00000,378.62459,430.68744
C525_subclonal,1589.93299,266.42292,505.22929,0.00000,0.00000,196.99791,48.00017
C527_clonal,1973.45080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
C527_subclonal,653.80293,108.41556,268.42965,0.00000,22.26274,117.87895,0.00000
C528_clonal,623.04534,229.67606,134.79680,0.00000,0.00000,18.36923,0.00000
C528_subclonal,6102.11281,629.97274,1201.21325,212.21603,35.34309,45.41820,0.00000
C530_clonal,1320.68644,0.00000,0.00000,0.00000,0.00000,0.00000,136.83433
C530_subclonal,5453.80433,506.25249,0.00000,0.00000,180.25964,865.85403,1398.35741
C531_clonal,2943.13426,215.98587,0.00000,173.00219,0.00000,210.02228,625.09914
C531_subclonal,9332.40026,774.65711,362.00459,0.00000,0.00000,1420.72479,2083.99298
C532_clonal,4570.12710,684.55065,0.00000,343.15904,0.00000,787.71631,465.69166
C532_subclonal,2868.54989,1299.31635,0.00000,2821.25017,0.00000,2011.84674,1074.35703
C536_clonal,29668.59934,0.00000,0.00000,0.00000,0.00000,30710.19460,0.00000
C536_subclonal,16515.24359,209.54997,0.00000,0.00000,24.53652,22663.72771,0.00000
C537_clonal,909.92222,47.31969,0.00000,19.48910,0.00000,132.04381,339.69147
C537_subclonal,1427.29979,536.90152,0.00000,416.76011,0.00000,510.87233,501.33031
C538_clonal,2555.26616,97.15276,0.00000,0.00000,0.00000,110.30345,0.00000
C538_subclonal,1382.27747,609.05127,231.00069,356.64951,0.00000,289.80303,241.30249
C539_clonal,1760.11429,481.84941,0.00000,604.05601,0.00000,144.53954,252.11892
C539_subclonal,0.00000,1165.72490,0.00000,3506.23981,0.00000,0.00000,641.85550
C542_clonal,2686.86361,222.22615,16.59366,0.00000,0.00000,77.79275,0.00000
C542_subclonal,2514.90234,1709.83386,1231.79730,547.82555,90.51484,170.61737,168.85355
C543_clonal,1882.14543,110.01644,0.00000,86.75944,0.00000,185.62570,124.25311
C543_subclonal,284.37238,32.12798,341.00235,361.41352,0.00000,0.00000,102.46621
C544_clonal,83.39059,1.00809,0.00000,0.00000,0.00000,19.98947,24.30347
C544_subclonal,5147.75968,603.13999,2413.93950,0.00000,0.00000,63.92649,1400.44903
C547_clonal,1190.32755,106.40835,0.00000,245.67449,0.00000,163.71069,97.52519
C547_subclonal,750.21765,248.39934,585.49890,1889.09733,32.03625,274.16763,115.10019
C548_clonal,27574.16710,0.00000,0.00000,0.00000,0.00000,32357.55428,0.00000
C548_subclonal,6159.22881,0.00000,1617.99638,2116.79994,0.00000,50586.13570,2568.33568
C549_clonal,994.45233,1656.87515,0.00000,124.89826,0.00000,115.63012,0.00000
C549_subclonal,1987.97441,11853.90981,409.90367,0.00000,0.00000,0.00000,0.00000
C550_clonal,1150.91085,432.34442,0.00000,55.19317,53.20221,153.25150,455.06066
C550_subclonal,5538.85347,872.18861,481.76733,0.00000,110.45163,363.03731,1561.58019
C551_clonal,2683.47684,197.88551,0.00000,151.88173,10.42192,213.26972,618.43514
C551_subclonal,5018.90981,1043.37196,375.20470,1675.01006,294.32819,1357.10097,2238.57797
C552_clonal,23088.86218,0.00000,0.00000,4362.69139,0.00000,33060.10363,0.00000
C552_subclonal,9110.56637,0.00000,0.00000,3482.79448,0.00000,22840.42545,0.00000
C554_clonal,1879.68753,295.53100,0.00000,29.77724,0.00000,215.54396,180.21574
C554_subclonal,10799.28870,2853.34663,0.00000,1309.48416,0.00000,1967.98423,1055.28007
C555_clonal,2805.17154,0.00000,0.00000,204.58311,0.00000,140.95506,0.00000
C555_subclonal,2281.10579,402.29349,240.40952,5984.57772,0.00000,546.30422,0.00000
C559_clonal,4078.82806,409.47626,0.00000,157.14246,0.00000,404.95523,161.12688
C559_subclonal,2822.71273,667.92881,773.15602,855.47115,0.00000,321.55679,329.51466
C560_clonal,2663.31518,237.10491,36.29244,183.04494,0.00000,307.69556,152.10458
C560_subclonal,2359.45944,494.31672,863.69959,161.33144,0.00000,35.11579,135.06526
C561_clonal,1637.52204,124.33031,127.23912,0.00000,0.00000,96.22362,664.37521
C561_subclonal,987.14377,624.33369,119.34522,13006.67610,99.90316,678.52004,1155.34205
C562_clonal,7313.90697,0.00000,0.00000,605.68736,0.00000,11948.04262,94.21585
C562_subclonal,11434.38812,0.00000,924.88991,544.33703,0.00000,10945.31468,294.48504